DATE,CPALTT01CAM659N
2001-11-01,0.6211180000000001
2001-12-01,0.7238883
2002-01-01,1.349948
2002-02-01,1.446281
2002-03-01,1.853759
2002-04-01,1.738241
2002-05-01,1.1156190000000001
2002-06-01,1.215806
2002-07-01,2.134146
2002-08-01,2.54065
2002-09-01,2.3326569999999998
2002-10-01,3.160041
2002-11-01,4.423868
2002-12-01,3.798768
2003-01-01,4.508197
2003-02-01,4.684318
2003-03-01,4.246714
2003-04-01,2.914573
2003-05-01,2.808425
2003-06-01,2.6026029999999998
2003-07-01,2.089552
2003-08-01,1.982161
2003-09-01,2.180377
2003-10-01,1.581028
2003-11-01,1.576355
2003-12-01,2.0771509999999997
2004-01-01,1.27451
2004-02-01,0.6809338
2004-03-01,0.7759457
2004-04-01,1.6601560000000002
2004-05-01,2.4390240000000003
2004-06-01,2.5365849999999996
2004-07-01,2.339181
2004-08-01,1.846453
2004-09-01,1.842871
